Title	URL	Assignees	Status	Priority	Estimate	Size	Iteration
Lack of communication	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/40		In Progress				
Make sure tasks are finished on time	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/43		In Progress				
Ask Prof. Dr. Riehele about grading process because of discussions	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/42		Done				
Clarify github workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/41		Done				
Dependet features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/85		Todo				
