Title	URL	Assignees	Status	Priority	Estimate	Size	Iteration
Ask Prof. Dr. Riehele about grading process because of discussions	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/42	hanna-212	Done				
Clarify github workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/41	hanna-212	Done				
Make sure tasks are finished on time	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/43	hanna-212	Done				
Lack of communication	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/40	hanna-212	Done				
Action Task: obtain feedback for project status from industry partner	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/141		Done				
Dependet features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/85	hanna-212	Done				
Keep track if outcome of workshop is implemented	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/168	hanna-212	Todo				
